Player_Id,Player_Name,DOB,Batting_Hand,Bowling_Skill,Country
1,SC Ganguly,7/8/1972,Left_Hand,Right-arm medium,India
2,BB McCullum,9/27/1981,Right_Hand,Right-arm medium,New Zealand
3,RT Ponting,12/19/1974,Right_Hand,Right-arm medium,Australia
4,DJ Hussey,7/15/1977,Right_Hand,Right-arm offbreak,Australia
5,Mohammad Hafeez,10/17/1980,Right_Hand,Right-arm offbreak,Pakistan
6,R Dravid,1/11/1973,Right_Hand,Right-arm offbreak,India
7,W Jaffer,2/16/1978,Right_Hand,Right-arm offbreak,India
8,V Kohli,11/5/1988,Right_Hand,Right-arm medium,India
9,JH Kallis,10/16/1975,Right_Hand,Right-arm fast-medium,South Africa
10,CL White,8/18/1983,Right_Hand,Legbreak googly,Australia
11,MV Boucher,12/3/1976,Right_Hand,Right-arm medium,South Africa
12,B Akhil,10/7/1977,Right_Hand,Right-arm medium-fast,India
13,AA Noffke,4/30/1977,Right_Hand,Right-arm fast-medium,Australia
14,P Kumar,10/2/1986,Right_Hand,Right-arm medium,India
15,Z Khan,10/7/1978,Right_Hand,Left-arm fast-medium,India
16,SB Joshi,6/6/1970,Left_Hand,Slow left-arm orthodox,India
17,PA Patel,3/9/1985,Left_Hand,NULL,India
18,ML Hayden,10/29/1971,Left_Hand,Right-arm medium,Australia
19,MEK Hussey,5/27/1975,Left_Hand,Right-arm medium,Australia
20,MS Dhoni,7/7/1981,Right_Hand,Right-arm medium,India
21,SK Raina,11/27/1986,Left_Hand,Right-arm offbreak,India
22,JDP Oram,7/28/1978,Left_Hand,Right-arm fast-medium,New Zealand
23,S Badrinath,8/30/1980,Right_Hand,Right-arm offbreak,India
24,K Goel,12/24/1986,Left_Hand,Right-arm offbreak,India
25,JR Hopes,10/24/1978,Right_Hand,Right-arm medium,Australia
26,KC Sangakkara,10/27/1977,Left_Hand,Right-arm offbreak,Sri Lanka
27,Yuvraj Singh,12/12/1981,Left_Hand,Slow left-arm orthodox,India
28,SM Katich,8/21/1975,Left_Hand,Slow left-arm chinaman,Australia
29,IK Pathan,10/27/1984,Left_Hand,Left-arm medium-fast,India
30,T Kohli,12/17/1988,Right_Hand,Right-arm medium,India
31,YK Pathan,11/17/1982,Right_Hand,Right-arm offbreak,India
32,SR Watson,6/17/1981,Right_Hand,Right-arm fast-medium,Australia
33,M Kaif,12/1/1980,Right_Hand,Right-arm offbreak,India
34,DS Lehmann,2/5/1970,Left_Hand,Slow left-arm orthodox,Australia
35,RA Jadeja,12/6/1988,Left_Hand,Slow left-arm orthodox,India
36,M Rawat,10/25/1985,Right_Hand,NULL,India
37,D Salunkhe,11/12/1982,Right_Hand,Legbreak,India
38,SK Warne,9/13/1969,Right_Hand,Legbreak googly,Australia
39,SK Trivedi,9/4/1982,Right_Hand,Right-arm medium,India
40,G Gambhir,10/14/1981,Left_Hand,Legbreak,India
41,V Sehwag,10/20/1978,Right_Hand,Right-arm offbreak,India
42,S Dhawan,12/5/1985,Left_Hand,Right-arm offbreak,India
43,L Ronchi,4/23/1981,Right_Hand,NULL,Australia
44,ST Jayasuriya,6/30/1969,Left_Hand,Slow left-arm orthodox,Sri Lanka
45,DJ Thornely,10/1/1978,Right_Hand,Right-arm medium,Australia
46,RV Uthappa,11/11/1985,Right_Hand,Right-arm medium,India
47,PR Shah,11/3/1987,Right_Hand,NULL,India
