,Player,Runs,Wickets,Age,Batting Skill,Bowling Skill,Country,Type
0,SK Raina,4548,25,32,Left_Hand,Right-arm offbreak,India,Batsman
1,V Kohli,4423,4,30,Right_Hand,Right-arm medium,India,Batsman
2,RG Sharma,4207,15,31,Right_Hand,Right-arm offbreak,India,Batsman
3,CH Gayle,3651,18,39,Left_Hand,Right-arm offbreak,West Indies,Batsman
4,S Dhawan,3561,4,33,Left_Hand,Right-arm offbreak,India,Batsman
5,AM Rahane,3057,1,30,Right_Hand,Right-arm medium,India,Batsman
6,YK Pathan,2922,41,36,Right_Hand,Right-arm offbreak,India,All Rounder
7,V Sehwag,2728,6,40,Right_Hand,Right-arm offbreak,India,Batsman
8,SR Watson,2628,86,37,Right_Hand,Right-arm fast-medium,Australia,All Rounder
9,Yuvraj Singh,2591,36,37,Left_Hand,Slow left-arm orthodox,India,All Rounder
10,JH Kallis,2427,65,43,Right_Hand,Right-arm fast-medium,South Africa,All Rounder
11,DR Smith,2385,26,35,Right_Hand,Right-arm medium,West Indies,All Rounder
12,KA Pollard,2354,56,31,Right_Hand,Right-arm medium-fast,West Indies,All Rounder
13,AC Gilchrist,2069,1,47,Left_Hand,Right-arm offbreak,Australia,Batsman
14,JP Duminy,1993,23,34,Left_Hand,Right-arm offbreak,South Africa,Batsman
15,RA Jadeja,1732,82,30,Left_Hand,Slow left-arm orthodox,India,All Rounder
16,MK Tiwary,1648,1,33,Right_Hand,Legbreak googly,India,Batsman
17,AJ Finch,1604,1,32,Right_Hand,Slow left-arm orthodox,Australia,Batsman
18,BJ Hodge,1400,17,44,Right_Hand,Right-arm offbreak,Australia,Batsman
19,SC Ganguly,1349,10,46,Left_Hand,Right-arm medium,India,Batsman
20,DJ Hussey,1322,8,41,Right_Hand,Right-arm offbreak,Australia,Batsman
21,DJ Bravo,1262,122,35,Right_Hand,Right-arm medium-fast,West Indies,All Rounder
22,GJ Maxwell,1229,11,30,Right_Hand,Right-arm offbreak,Australia,Batsman
23,TM Dilshan,1153,5,42,Right_Hand,Right-arm offbreak,Sri Lanka,Batsman
24,IK Pathan,1150,80,34,Left_Hand,Left-arm medium-fast,India,All Rounder
25,LMP Simmons,1079,1,34,Right_Hand,Right-arm medium-fast,West Indies,Batsman
26,KP Pietersen,1001,7,38,Right_Hand,Right-arm offbreak,South Africa,Batsman
27,Y Venugopal Rao,985,6,36,Right_Hand,Right-arm offbreak,India,Batsman
28,JA Morkel,975,85,37,Left_Hand,Right-arm medium-fast,South Africa,All Rounder
29,A Symonds,974,20,43,Right_Hand,Right-arm offbreak,Australia,Batsman
30,CL White,971,1,35,Right_Hand,Legbreak googly,Australia,Batsman
31,MC Henriques,969,38,32,Right_Hand,Right-arm fast-medium,Australia,All Rounder
32,Harbhajan Singh,799,127,38,Right_Hand,Right-arm offbreak,India,All Rounder
33,ST Jayasuriya,768,13,49,Left_Hand,Slow left-arm orthodox,Sri Lanka,Batsman
34,STR Binny,766,21,34,Right_Hand,Right-arm medium,India,Batsman
35,AD Mathews,724,27,31,Right_Hand,Right-arm fast-medium,Sri Lanka,All Rounder
36,TL Suman,676,6,35,Right_Hand,Right-arm offbreak,India,Batsman
37,AM Nayar,672,9,35,Left_Hand,Right-arm medium,India,Batsman
38,AR Patel,606,58,25,Left_Hand,Slow left-arm orthodox,India,All Rounder
39,JD Ryder,604,8,34,Left_Hand,Right-arm medium,New Zealand,Batsman
40,AD Russell,574,31,30,Right_Hand,Right-arm fast,West Indies,Bowler
41,RS Bopara,531,11,33,Right_Hand,Right-arm medium,England,Other
42,JP Faulkner,527,61,28,Right_Hand,Left-arm fast-medium,Australia,Bowler
43,CJ Anderson,521,8,28,Left_Hand,Left-arm medium-fast,New Zealand,Other
44,PP Chawla,515,126,30,Left_Hand,Legbreak,India,Bowler
45,PC Valthaty,505,7,35,Right_Hand,Right-arm medium,India,Other
46,Shakib Al Hasan,500,43,31,Left_Hand,Slow left-arm orthodox,Bangladesh,Bowler
47,KH Pandya,480,16,27,Left_Hand,Slow left-arm orthodox,India,Other
48,CH Morris,439,54,31,Right_Hand,Right-arm fast-medium,South Africa,Bowler
49,NLTC Perera,424,31,29,Left_Hand,Right-arm medium-fast,Sri Lanka,Bowler
50,DT Christian,420,30,35,Right_Hand,Right-arm fast-medium,Australia,Bowler
51,JR Hopes,417,14,40,Right_Hand,Right-arm medium,Australia,Other
52,J Botha,409,25,36,Right_Hand,Right-arm offbreak,South Africa,Other
53,HH Pandya,406,10,25,Right_Hand,Right-arm medium-fast,India,Other
54,LR Shukla,405,15,37,Right_Hand,Right-arm medium,India,Other
55,AL Menaria,401,3,28,Left_Hand,Slow left-arm orthodox,India,Other
56,Azhar Mahmood,388,29,43,Right_Hand,Right-arm fast-medium,Pakistan,Bowler
57,DB Ravi Teja,375,1,31,Right_Hand,Legbreak googly,India,Other
58,DJ Hooda,373,6,23,Right_Hand,Right-arm offbreak,India,Other
59,P Negi,353,30,26,Left_Hand,Slow left-arm orthodox,India,Bowler
60,Gurkeerat Singh,342,5,28,Right_Hand,Right-arm offbreak,India,Other
61,R Bhatia,342,71,39,Right_Hand,Right-arm medium-fast,India,Bowler
62,A Mishra,340,134,36,Right_Hand,Legbreak,India,Bowler
63,P Kumar,340,90,32,Right_Hand,Right-arm medium,India,Bowler
64,JEC Franklin,327,9,38,Left_Hand,Left-arm medium,New Zealand,Other
65,RN ten Doeschate,326,2,38,Right_Hand,Right-arm medium-fast,Netherlands,Other
66,KV Sharma,317,49,31,Left_Hand,Legbreak googly,India,Bowler
67,R Vinay Kumar,304,103,35,Right_Hand,Right-arm medium,India,Bowler
68,DJG Sammy,295,11,35,Right_Hand,Right-arm medium-fast,West Indies,Other
69,Y Nagar,285,4,29,Right_Hand,Right-arm offbreak,India,Other
